0.000000	0.000000	0.000000	0.000000
0.797024	0.136705	0.588273	3000.000000
-0.278590	0.948576	0.150306	3000.000000
0.269452	-0.711937	0.648492	3000.000000
-0.645004	-0.682074	0.344595	3000.000000
-0.997625	0.026724	-0.063488	3000.000000
-0.015830	0.014469	0.999770	3000.000000
0.839210	0.379789	-0.389213	3000.000000
0.208215	-0.891081	0.403263	3000.000000
0.539573	-0.252383	0.803221	3000.000000
-0.132838	-0.935923	0.326194	3000.000000
0.827364	-0.548564	-0.120610	3000.000000
0.307510	-0.090828	0.947200	3000.000000
0.218118	0.504811	0.835219	3000.000000
0.726209	-0.666170	0.169821	3000.000000
-0.332668	-0.557426	0.760663	3000.000000
-0.328466	0.034648	0.943880	3000.000000
0.291451	0.863987	0.410588	3000.000000
-0.524955	0.742151	-0.416694	3000.000000
-0.122014	0.589755	0.798312	3000.000000
0.949993	0.086143	-0.300156	3000.000000
-0.055576	0.316880	0.946836	3000.000000
-0.141862	0.824696	0.547496	3000.000000
0.601245	-0.789791	-0.121382	3000.000000
0.734088	0.444365	0.513473	3000.000000
0.661510	0.749911	0.006173	3000.000000
-0.611822	-0.502190	0.611129	3000.000000
-0.830952	0.381428	0.405009	3000.000000
-0.370819	0.344175	0.862576	3000.000000
-0.762479	-0.186326	0.619604	3000.000000
0.065038	-0.295414	0.953153	3000.000000
0.926285	-0.117378	0.358076	3000.000000
-0.063469	-0.795508	0.602610	3000.000000
0.768560	-0.194100	0.609624	3000.000000
0.446139	-0.883423	0.143262	3000.000000
-0.834875	-0.510044	-0.206975	3000.000000
-0.423944	-0.882753	0.202533	3000.000000
-0.522214	-0.248724	0.815738	3000.000000
-0.378698	-0.766359	0.518923	3000.000000
-0.637493	0.376534	0.672179	3000.000000
-0.959665	0.216672	0.179153	3000.000000
0.304862	-0.464002	0.831722	3000.000000
-0.239235	-0.285483	0.928044	3000.000000
0.532848	0.370235	0.760920	3000.000000
-0.407192	0.822667	0.396753	3000.000000
-0.835774	0.104423	0.539052	3000.000000
0.927325	0.216334	0.305397	3000.000000
0.923215	-0.362997	0.126124	3000.000000
-0.125640	0.985406	-0.114845	3000.000000
-0.419397	-0.897620	-0.135587	3000.000000
0.456964	0.642255	0.615380	3000.000000
0.611904	0.712455	0.343485	3000.000000
0.580539	0.068549	0.811342	3000.000000
-0.154722	-0.987867	-0.013398	3000.000000
-0.651714	0.630831	0.421095	3000.000000
0.276049	0.217698	0.936165	3000.000000
-0.837437	-0.532713	0.122130	3000.000000
-0.413285	0.619494	0.667400	3000.000000
0.576347	-0.522314	0.628500	3000.000000
0.792823	-0.455369	0.405057	3000.000000
-0.607712	0.077141	0.790402	3000.000000
0.963101	0.267540	-0.029315	3000.000000
0.006778	0.955284	0.295611	3000.000000
-0.020026	-0.576392	0.816928	3000.000000
0.137929	0.746604	0.650813	3000.000000
